Sales Person,Country,Product,Date,Amount,Boxes Shipped
Kelci Walkden,Australia,White Choc,24/08/2023,"$8,879.72",177
Curtice Advani,India,85% Dark Bars,18/01/2023,$298.34,399
Kaine Padly,USA,Eclairs,22/08/2023,"$7,799.51",10
Gunar Cockshoot,UK,99% Dark & Pure,07/03/2023,$8.04,85
Beverie Moffet,UK,Choco Coated Almonds,04/03/2023,"$3,212.35",66
Dotty Strutley,Canada,Manuka Honey Choco,22/04/2023,"$12,048.56",113
Kaine Padly,Australia,Milk Bars,09/06/2023,"$4,499.64",91
Jan Morforth,Canada,Fruit & Nut Bars,25/07/2023,"$9,984.16",207
Jan Morforth,India,Smooth Sliky Salty,03/08/2023,"$11,867.83",95
Rafaelita Blaksland,Australia,Manuka Honey Choco,03/08/2023,"$4,806.65",132
Jehu Rudeforth,UK,Milk Bars,03/05/2023,"$13,420.93",232
Husein Augar,Canada,After Nines,19/01/2023,"$10,407.51",301
Roddy Speechley,USA,50% Dark Bites,11/02/2023,"$10,849.39",330
Van Tuxwell,India,Almond Choco,14/06/2023,"$7,247.29",402
Kelci Walkden,USA,50% Dark Bites,23/03/2023,"$6,387.65",227
Madelene Upcott,Canada,85% Dark Bars,17/02/2023,"$8,373.42",108
Dennison Crosswaite,Canada,Smooth Sliky Salty,17/03/2023,"$1,887.19",488
Mallorie Waber,Australia,Spicy Special Slims,29/06/2023,"$6,054.04",287
Ches Bonnell,Canada,Choco Coated Almonds,24/08/2023,"$16,254.61",268
Gigi Bohling,Canada,Spicy Special Slims,04/07/2023,"$13,173.56",301
Roddy Speechley,New Zealand,Almond Choco,28/03/2023,"$2,721.46",72
Curtice Advani,India,Smooth Sliky Salty,19/04/2023,"$19,283.64",139
Ches Bonnell,New Zealand,Mint Chip Choco,18/01/2023,"$9,327.52",232
Van Tuxwell,New Zealand,Fruit & Nut Bars,17/01/2023,"$3,184.03",85
Andria Kimpton,New Zealand,Mint Chip Choco,15/02/2023,"$9,738.74",209
Andria Kimpton,UK,Milk Bars,11/02/2023,"$16,486.65",314
Camilla Castle,USA,Manuka Honey Choco,21/03/2023,"$16,792.23",184
Gunar Cockshoot,New Zealand,Almond Choco,05/01/2023,"$5,752.62",125
Brien Boise,India,Raspberry Choco,30/05/2023,"$6,833.28",157
Jehu Rudeforth,USA,99% Dark & Pure,04/01/2023,"$2,815.72",222
Beverie Moffet,Australia,Fruit & Nut Bars,22/04/2023,"$1,545.36",269
Gigi Bohling,Canada,Milk Bars,10/02/2023,"$3,432.73",120
Dotty Strutley,India,Spicy Special Slims,12/08/2023,"$1,001.99",217
Gunar Cockshoot,USA,Organic Choco Syrup,10/08/2023,"$2,494.19",315
Kelci Walkden,Australia,Raspberry Choco,07/06/2023,$770.25,61
Jehu Rudeforth,India,Baker's Choco Chips,06/06/2023,"$2,261.98",73
Karlen McCaffrey,New Zealand,Baker's Choco Chips,05/04/2023,"$5,667.58",204
Wilone O'Kielt,USA,50% Dark Bites,18/04/2023,"$4,738.71",125
Andria Kimpton,India,50% Dark Bites,31/01/2023,"$13,661.89",15
Madelene Upcott,USA,Baker's Choco Chips,22/08/2023,"$6,067.19",151
Jehu Rudeforth,Australia,99% Dark & Pure,25/02/2023,"$11,720.99",204
Jan Morforth,Australia,Mint Chip Choco,22/02/2023,"$19,999.55",106
Oby Sorrel,New Zealand,Milk Bars,12/01/2023,"$4,484.03",201
Brien Boise,UK,Almond Choco,25/05/2023,$107.24,129
Kelci Walkden,India,Smooth Sliky Salty,01/02/2023,"$2,525.98",8
Rafaelita Blaksland,UK,Eclairs,27/04/2023,"$1,577.84",67
Gigi Bohling,USA,Smooth Sliky Salty,22/07/2023,"$2,972.07",129
Curtice Advani,New Zealand,Mint Chip Choco,26/01/2023,"$3,691.63",284
Curtice Advani,USA,Mint Chip Choco,24/08/2023,"$5,188.89",293
Madelene Upcott,New Zealand,Fruit & Nut Bars,18/01/2023,"$5,766.51",21
Karlen McCaffrey,India,85% Dark Bars,30/03/2023,"$1,036.77",82
Ches Bonnell,Australia,Caramel Stuffed Bars,17/01/2023,"$10,033.52",163
Kelci Walkden,USA,Fruit & Nut Bars,17/02/2023,"$5,220.69",154
Kelci Walkden,Canada,Peanut Butter Cubes,08/04/2023,"$8,106.62",47
Gigi Bohling,Canada,Drinking Coco,06/07/2023,"$3,934.09",86
Husein Augar,India,Fruit & Nut Bars,04/04/2023,"$4,508.93",231
Jan Morforth,New Zealand,Organic Choco Syrup,02/03/2023,"$1,921.57",226
Gigi Bohling,New Zealand,Raspberry Choco,09/08/2023,"$1,161.31",181
Dennison Crosswaite,Australia,Milk Bars,09/06/2023,"$11,389.29",282
Ches Bonnell,UK,Caramel Stuffed Bars,02/06/2023,"$3,032.30",313
Van Tuxwell,USA,Fruit & Nut Bars,05/07/2023,"$6,871.55",238
Andria Kimpton,Canada,Eclairs,11/08/2023,$339.99,124
Madelene Upcott,India,Choco Coated Almonds,11/02/2023,"$3,720.22",141
Kelci Walkden,New Zealand,Spicy Special Slims,11/08/2023,$731.19,69
Roddy Speechley,Australia,Drinking Coco,12/05/2023,"$13,288.65",112
Wilone O'Kielt,USA,Milk Bars,15/07/2023,"$5,332.79",101
Andria Kimpton,India,Organic Choco Syrup,18/01/2023,"$3,971.78",131
Madelene Upcott,UK,Fruit & Nut Bars,05/01/2023,"$9,538.21",198
Curtice Advani,Australia,50% Dark Bites,29/06/2023,$547.85,221
Brien Boise,Canada,Raspberry Choco,14/06/2023,"$2,994.76",47
Gunar Cockshoot,India,Mint Chip Choco,08/08/2023,"$4,451.38",71
Dennison Crosswaite,India,Mint Chip Choco,23/03/2023,"$14,691.77",143
Barr Faughny,India,Caramel Stuffed Bars,04/01/2023,"$7,042.98",107
Brien Boise,India,Milk Bars,22/02/2023,"$15,583.00",248
Beverie Moffet,UK,Spicy Special Slims,17/02/2023,"$9,059.82",268
Barr Faughny,USA,Almond Choco,03/02/2023,$430.59,85
Van Tuxwell,Canada,Raspberry Choco,17/03/2023,"$1,264.25",137
Wilone O'Kielt,Australia,Baker's Choco Chips,25/01/2023,"$2,995.47",156
Brien Boise,Australia,Milk Bars,27/07/2023,"$2,117.82",56
Husein Augar,Australia,Fruit & Nut Bars,28/01/2023,"$8,081.79",54
Madelene Upcott,Australia,Organic Choco Syrup,05/07/2023,"$11,542.54",49
Van Tuxwell,India,White Choc,15/03/2023,"$2,183.68",46
Gunar Cockshoot,Canada,After Nines,04/08/2023,"$3,125.34",191
Jan Morforth,USA,Fruit & Nut Bars,27/06/2023,"$4,891.86",380
Jan Morforth,Canada,After Nines,13/07/2023,"$4,881.32",183
Barr Faughny,New Zealand,Manuka Honey Choco,24/02/2023,"$5,917.62",238
Karlen McCaffrey,New Zealand,85% Dark Bars,28/06/2023,"$6,312.53",60
Oby Sorrel,Australia,85% Dark Bars,30/06/2023,"$7,956.28",27
Curtice Advani,Canada,Choco Coated Almonds,18/08/2023,"$5,895.88",7
Kaine Padly,India,70% Dark Bites,24/01/2023,"$13,535.70",296
Beverie Moffet,USA,White Choc,11/03/2023,"$5,639.90",129
Ches Bonnell,New Zealand,After Nines,23/06/2023,"$5,813.44",356
Husein Augar,India,Spicy Special Slims,22/08/2023,"$2,514.82",32
Gunar Cockshoot,Canada,50% Dark Bites,04/01/2023,"$3,044.01",22
Curtice Advani,India,Milk Bars,05/04/2023,"$3,902.04",214
Beverie Moffet,India,Milk Bars,15/04/2023,"$1,928.74",354
Husein Augar,Australia,White Choc,11/05/2023,"$3,251.53",241
Andria Kimpton,Canada,Manuka Honey Choco,21/07/2023,"$5,031.94",495
Jan Morforth,New Zealand,Orange Choco,11/02/2023,"$1,350.26",89
Andria Kimpton,Canada,Smooth Sliky Salty,08/07/2023,"$1,187.71",75
Gunar Cockshoot,UK,Raspberry Choco,11/08/2023,"$7,055.38",334
Husein Augar,New Zealand,After Nines,04/08/2023,"$7,231.89",8
Andria Kimpton,New Zealand,Orange Choco,14/06/2023,"$9,295.83",93
Dennison Crosswaite,UK,Baker's Choco Chips,17/01/2023,"$2,276.94",296
Jehu Rudeforth,Canada,Orange Choco,23/06/2023,"$4,229.79",548
Jehu Rudeforth,UK,Smooth Sliky Salty,24/08/2023,"$1,640.53",119
Andria Kimpton,UK,Caramel Stuffed Bars,07/06/2023,"$8,234.50",294
Jan Morforth,UK,White Choc,22/06/2023,"$10,087.04",46
Dotty Strutley,USA,Fruit & Nut Bars,13/07/2023,"$3,169.26",281
Kelci Walkden,UK,Choco Coated Almonds,24/05/2023,"$10,355.42",215
Gunar Cockshoot,New Zealand,After Nines,09/08/2023,"$7,772.63",140
Kaine Padly,Canada,85% Dark Bars,06/04/2023,"$1,992.77",31
Jan Morforth,New Zealand,Manuka Honey Choco,28/07/2023,"$1,815.56",266
Gunar Cockshoot,New Zealand,Raspberry Choco,24/08/2023,$727.11,50
Van Tuxwell,Australia,99% Dark & Pure,17/01/2023,$114.96,132
Curtice Advani,USA,Drinking Coco,07/02/2023,"$5,378.09",142
Brien Boise,Australia,Spicy Special Slims,09/05/2023,"$6,707.63",269
Mallorie Waber,New Zealand,85% Dark Bars,06/06/2023,"$8,167.18",102
Wilone O'Kielt,USA,Choco Coated Almonds,06/06/2023,"$9,950.14",6
Beverie Moffet,New Zealand,Organic Choco Syrup,24/05/2023,"$7,229.26",215
Gunar Cockshoot,UK,50% Dark Bites,13/01/2023,"$2,260.21",128
Marney O'Breen,USA,Raspberry Choco,23/05/2023,"$6,206.90",149
Jehu Rudeforth,UK,White Choc,29/06/2023,"$1,889.83",286
Jehu Rudeforth,New Zealand,85% Dark Bars,11/03/2023,"$7,797.24",88
Dotty Strutley,USA,85% Dark Bars,25/04/2023,"$11,644.92",536
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30/05/2023,"$4,207.22",255
Curtice Advani,India,Manuka Honey Choco,23/05/2023,"$1,683.88",169
Mallorie Waber,USA,Peanut Butter Cubes,23/05/2023,"$1,337.36",18
Van Tuxwell,Canada,Peanut Butter Cubes,24/06/2023,"$7,147.04",300
Kelci Walkden,New Zealand,Smooth Sliky Salty,11/03/2023,"$12,030.46",296
Rafaelita Blaksland,USA,Smooth Sliky Salty,27/07/2023,"$15,844.58",232
Rafaelita Blaksland,USA,White Choc,16/08/2023,"$5,025.84",133
Roddy Speechley,Canada,Smooth Sliky Salty,07/03/2023,"$9,902.03",12
Curtice Advani,New Zealand,After Nines,05/04/2023,"$7,944.07",33
Camilla Castle,India,85% Dark Bars,04/05/2023,"$9,523.65",55
Ches Bonnell,USA,Choco Coated Almonds,04/01/2023,"$16,240.71",93
Marney O'Breen,Australia,Baker's Choco Chips,13/01/2023,"$5,891.94",109
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11/07/2023,"$6,924.52",94
Kaine Padly,Australia,Mint Chip Choco,17/05/2023,"$4,552.57",158
Camilla Castle,New Zealand,Peanut Butter Cubes,21/07/2023,"$1,724.91",60
Curtice Advani,Canada,Organic Choco Syrup,22/02/2023,$897.30,21
Jan Morforth,India,99% Dark & Pure,23/05/2023,"$10,283.90",178
Rafaelita Blaksland,Canada,Drinking Coco,12/07/2023,"$10,415.77",200
Jan Morforth,UK,Orange Choco,15/06/2023,"$4,220.83",193
Barr Faughny,New Zealand,50% Dark Bites,23/06/2023,"$4,909.86",304
Curtice Advani,Australia,Eclairs,25/03/2023,"$6,549.62",53
Jan Morforth,India,Caramel Stuffed Bars,04/07/2023,$88.72,165
Andria Kimpton,UK,White Choc,12/05/2023,"$9,793.16",110
Camilla Castle,New Zealand,Raspberry Choco,04/04/2023,"$4,823.65",143
Madelene Upcott,Australia,Orange Choco,15/04/2023,"$7,556.55",404
Roddy Speechley,Canada,Eclairs,08/03/2023,"$7,082.03",95
Karlen McCaffrey,India,White Choc,17/01/2023,"$8,361.47",231
Wilone O'Kielt,India,Mint Chip Choco,22/08/2023,"$1,310.50",52
Andria Kimpton,UK,99% Dark & Pure,25/07/2023,"$1,288.10",67
Marney O'Breen,UK,50% Dark Bites,14/06/2023,"$3,288.29",133
Ches Bonnell,India,Choco Coated Almonds,05/04/2023,"$10,669.09",85
Madelene Upcott,UK,Raspberry Choco,26/08/2023,"$7,361.93",344
Wilone O'Kielt,Australia,50% Dark Bites,03/08/2023,"$10,336.22",123
Gigi Bohling,Canada,White Choc,11/07/2023,"$6,985.95",4
Wilone O'Kielt,New Zealand,Eclairs,11/03/2023,"$3,394.46",21
Brien Boise,UK,Peanut Butter Cubes,10/01/2023,"$15,337.23",31
Roddy Speechley,UK,Baker's Choco Chips,04/04/2023,"$15,925.17",378
Karlen McCaffrey,Australia,50% Dark Bites,17/01/2023,"$7,355.77",772
Marney O'Breen,New Zealand,Organic Choco Syrup,08/07/2023,"$9,489.27",54
Jan Morforth,UK,Organic Choco Syrup,12/04/2023,"$1,281.32",354
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24/08/2023,$518.07,192
Ches Bonnell,UK,Choco Coated Almonds,07/06/2023,"$1,933.56",239
Gunar Cockshoot,Canada,Almond Choco,28/07/2023,"$1,308.52",30
Husein Augar,USA,99% Dark & Pure,21/02/2023,"$9,878.50",111
Dennison Crosswaite,Canada,Mint Chip Choco,08/04/2023,"$1,943.70",297
Brien Boise,UK,Manuka Honey Choco,28/06/2023,$80.62,103
Van Tuxwell,UK,Baker's Choco Chips,24/03/2023,"$2,678.37",20
Barr Faughny,Australia,Caramel Stuffed Bars,29/07/2023,"$2,931.10",60
Dennison Crosswaite,USA,Eclairs,25/05/2023,"$2,316.09",90
Gigi Bohling,Australia,Raspberry Choco,30/03/2023,"$6,722.22",330
Dennison Crosswaite,USA,Organic Choco Syrup,18/07/2023,"$14,528.51",134
Beverie Moffet,Canada,Orange Choco,10/05/2023,"$9,390.28",104
Mallorie Waber,Australia,Choco Coated Almonds,18/03/2023,"$16,230.41",94
Ches Bonnell,India,Caramel Stuffed Bars,15/06/2023,"$7,224.39",55
Van Tuxwell,Canada,50% Dark Bites,12/05/2023,"$15,567.58",57
Kelci Walkden,New Zealand,Baker's Choco Chips,23/06/2023,"$2,964.20",105
Beverie Moffet,India,Spicy Special Slims,21/04/2023,"$3,357.08",186
Gigi Bohling,Australia,Almond Choco,17/08/2023,"$1,010.37",127
Rafaelita Blaksland,New Zealand,Eclairs,07/02/2023,"$20,470.43",54
Kelci Walkden,Canada,Smooth Sliky Salty,17/03/2023,"$8,762.75",115
Jan Morforth,India,Baker's Choco Chips,01/08/2023,"$14,613.52",85
Jehu Rudeforth,Australia,Milk Bars,18/03/2023,"$9,839.46",31
Gigi Bohling,Canada,Fruit & Nut Bars,14/06/2023,"$6,633.23",103
Beverie Moffet,UK,Eclairs,22/04/2023,"$9,749.07",169
Marney O'Breen,New Zealand,Eclairs,18/01/2023,"$5,254.38",31
Husein Augar,Australia,99% Dark & Pure,26/08/2023,"$3,430.43",123
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10/06/2023,"$10,454.55",434
Curtice Advani,Canada,70% Dark Bites,31/01/2023,"$2,413.87",7
Kelci Walkden,New Zealand,Manuka Honey Choco,08/04/2023,"$1,445.14",108
Dotty Strutley,Australia,Baker's Choco Chips,07/06/2023,"$4,022.64",71
Barr Faughny,Australia,85% Dark Bars,10/02/2023,"$8,651.20",43
Beverie Moffet,Australia,50% Dark Bites,16/05/2023,$725.16,453
Gunar Cockshoot,India,Baker's Choco Chips,18/03/2023,"$2,385.40",540
Van Tuxwell,Australia,50% Dark Bites,13/07/2023,$726.04,131
Oby Sorrel,USA,Manuka Honey Choco,25/07/2023,"$4,742.35",83
Van Tuxwell,Canada,Choco Coated Almonds,19/08/2023,"$2,556.96",312
Karlen McCaffrey,Canada,70% Dark Bites,24/06/2023,"$8,376.69",646
Kelci Walkden,Canada,Fruit & Nut Bars,20/06/2023,$840.71,162
Camilla Castle,India,99% Dark & Pure,02/08/2023,$207.87,216
Madelene Upcott,New Zealand,70% Dark Bites,22/02/2023,"$13,370.34",94
Mallorie Waber,New Zealand,Orange Choco,01/02/2023,"$6,811.37",25
Jan Morforth,Canada,70% Dark Bites,14/02/2023,"$6,096.52",300
Kelci Walkden,Australia,Milk Bars,24/02/2023,"$8,684.58",120
Dennison Crosswaite,India,Orange Choco,18/03/2023,$873.26,140
Husein Augar,UK,Eclairs,30/08/2023,"$1,912.66",253
Gigi Bohling,USA,Peanut Butter Cubes,09/05/2023,$321.61,76
Wilone O'Kielt,USA,Smooth Sliky Salty,18/01/2023,$511.12,96
Curtice Advani,India,White Choc,04/07/2023,"$7,887.15",335
Oby Sorrel,New Zealand,Spicy Special Slims,03/06/2023,"$1,793.67",13
Beverie Moffet,New Zealand,Peanut Butter Cubes,23/02/2023,"$12,129.42",29
Dotty Strutley,New Zealand,99% Dark & Pure,09/05/2023,"$11,749.75",213
Kelci Walkden,India,70% Dark Bites,06/06/2023,"$3,967.25",101
Kelci Walkden,India,Drinking Coco,04/07/2023,"$8,105.37",255
Brien Boise,New Zealand,Drinking Coco,06/06/2023,"$1,614.17",106
Dotty Strutley,Australia,Almond Choco,13/05/2023,"$1,613.30",91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31/01/2023,"$2,155.64",281
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30/06/2023,"$8,184.37",43
Barr Faughny,Canada,Manuka Honey Choco,25/08/2023,"$3,613.32",251
Gigi Bohling,New Zealand,Smooth Sliky Salty,10/01/2023,$801.09,101
Brien Boise,USA,Manuka Honey Choco,22/08/2023,"$2,069.48",8
Roddy Speechley,New Zealand,85% Dark Bars,14/04/2023,"$5,096.21",284
Oby Sorrel,UK,Smooth Sliky Salty,31/05/2023,"$10,573.50",338
Oby Sorrel,UK,Raspberry Choco,08/04/2023,"$4,611.37",322
Roddy Speechley,USA,Drinking Coco,21/02/2023,"$3,288.77",148
Andria Kimpton,Australia,Manuka Honey Choco,30/03/2023,"$10,883.13",394
Mallorie Waber,India,Raspberry Choco,02/03/2023,"$1,516.56",2
Jehu Rudeforth,USA,Orange Choco,28/07/2023,$391.33,184
Kaine Padly,New Zealand,70% Dark Bites,24/03/2023,"$7,969.08",38
Curtice Advani,Australia,After Nines,11/08/2023,$63.71,109
Husein Augar,UK,Almond Choco,17/05/2023,"$8,832.33",175
Kaine Padly,Canada,Choco Coated Almonds,18/05/2023,"$3,542.19",180
Roddy Speechley,UK,Peanut Butter Cubes,17/08/2023,"$6,052.07",173
Ches Bonnell,New Zealand,Eclairs,04/04/2023,$543.20,54
Brien Boise,India,85% Dark Bars,09/08/2023,"$18,894.92",201
Brien Boise,New Zealand,Organic Choco Syrup,17/01/2023,$689.40,331
Andria Kimpton,Canada,White Choc,14/02/2023,"$4,435.95",31
Gigi Bohling,New Zealand,Orange Choco,16/05/2023,"$9,111.34",324
Ches Bonnell,Canada,Smooth Sliky Salty,16/03/2023,"$10,369.71",129
Husein Augar,Canada,70% Dark Bites,31/01/2023,"$5,833.20",290
Barr Faughny,Canada,Organic Choco Syrup,10/03/2023,"$1,229.96",219
Oby Sorrel,UK,Organic Choco Syrup,30/06/2023,"$8,839.72",170
Van Tuxwell,New Zealand,Eclairs,01/03/2023,"$5,747.66",176
Mallorie Waber,UK,Drinking Coco,27/05/2023,"$3,666.04",107
Oby Sorrel,UK,Milk Bars,11/07/2023,"$6,853.82",220
Karlen McCaffrey,New Zealand,Mint Chip Choco,02/03/2023,"$4,361.01",59
Jehu Rudeforth,USA,Raspberry Choco,04/03/2023,"$7,686.15",141
Kelci Walkden,UK,85% Dark Bars,23/06/2023,"$4,188.43",235
Kelci Walkden,USA,Almond Choco,27/01/2023,"$5,425.24",234
Marney O'Breen,Canada,Orange Choco,14/01/2023,"$2,896.97",456
Dennison Crosswaite,India,Fruit & Nut Bars,29/07/2023,"$1,071.31",23
Brien Boise,Canada,Smooth Sliky Salty,13/05/2023,"$6,417.05",497
Barr Faughny,Canada,Baker's Choco Chips,03/02/2023,"$10,967.31",172
Brien Boise,India,Smooth Sliky Salty,27/05/2023,"$6,345.02",28
Jan Morforth,Australia,Drinking Coco,18/02/2023,"$2,824.71",25
Brien Boise,India,Spicy Special Slims,28/01/2023,"$1,463.67",34
Van Tuxwell,UK,Eclairs,29/06/2023,"$5,856.52",115
Wilone O'Kielt,India,Caramel Stuffed Bars,13/01/2023,"$4,303.86",282
Jehu Rudeforth,UK,After Nines,27/06/2023,"$2,047.77",169
Barr Faughny,Canada,White Choc,29/03/2023,"$4,692.36",1
Gunar Cockshoot,India,Organic Choco Syrup,03/06/2023,"$7,302.42",153
Mallorie Waber,Canada,Smooth Sliky Salty,21/03/2023,"$2,056.92",103
Mallorie Waber,India,Eclairs,12/04/2023,"$11,032.79",49
Rafaelita Blaksland,Australia,Raspberry Choco,19/01/2023,"$7,773.64",247
Karlen McCaffrey,UK,50% Dark Bites,06/04/2023,"$3,843.01",295
Kaine Padly,Australia,50% Dark Bites,02/08/2023,"$9,163.79",81
Gigi Bohling,Australia,Eclairs,12/04/2023,"$7,628.59",146
Oby Sorrel,India,Drinking Coco,21/07/2023,"$18,220.59",139
Van Tuxwell,New Zealand,Baker's Choco Chips,22/03/2023,"$9,828.94",24
Husein Augar,India,Peanut Butter Cubes,09/05/2023,"$4,726.65",5
Andria Kimpton,Australia,Baker's Choco Chips,09/08/2023,$344.82,118
Madelene Upcott,Canada,Choco Coated Almonds,20/07/2023,"$3,451.24",283
Brien Boise,India,70% Dark Bites,14/04/2023,"$5,071.49",439
Jehu Rudeforth,Canada,White Choc,25/01/2023,"$4,719.38",132
Andria Kimpton,Australia,Almond Choco,25/04/2023,"$3,430.58",174
Dotty Strutley,Canada,After Nines,17/01/2023,$268.30,239
Karlen McCaffrey,USA,Eclairs,15/08/2023,$991.46,133
Karlen McCaffrey,Canada,Fruit & Nut Bars,02/06/2023,$213.45,17
Gunar Cockshoot,USA,85% Dark Bars,30/06/2023,"$7,586.38",131
Dotty Strutley,New Zealand,Raspberry Choco,10/02/2023,"$6,192.19",99
Marney O'Breen,Canada,Caramel Stuffed Bars,23/02/2023,"$1,510.58",602
Dennison Crosswaite,India,Organic Choco Syrup,27/01/2023,"$8,693.31",209
Camilla Castle,UK,Mint Chip Choco,26/05/2023,"$5,509.77",307
Brien Boise,USA,70% Dark Bites,14/04/2023,"$1,863.20",22
Madelene Upcott,Australia,99% Dark & Pure,01/08/2023,"$4,822.50",159
Mallorie Waber,Australia,Eclairs,22/08/2023,"$10,856.55",229
Marney O'Breen,India,99% Dark & Pure,22/07/2023,"$11,252.11",159
Husein Augar,USA,Fruit & Nut Bars,28/04/2023,"$1,387.72",27
Kelci Walkden,Australia,Almond Choco,30/05/2023,"$5,509.22",341
Ches Bonnell,USA,Milk Bars,21/07/2023,"$2,444.25",155
Jan Morforth,UK,Caramel Stuffed Bars,02/08/2023,"$3,175.62",507
Brien Boise,New Zealand,70% Dark Bites,15/06/2023,"$7,900.42",143
Oby Sorrel,India,85% Dark Bars,05/07/2023,"$9,072.46",142
Kaine Padly,New Zealand,Smooth Sliky Salty,12/04/2023,$8.06,513
Gigi Bohling,Australia,70% Dark Bites,18/08/2023,"$1,548.54",104
Jan Morforth,UK,50% Dark Bites,12/01/2023,"$5,501.67",298
Gunar Cockshoot,Canada,White Choc,11/08/2023,"$7,685.42",15
Jehu Rudeforth,Australia,Spicy Special Slims,13/01/2023,"$5,147.77",402
Husein Augar,UK,Baker's Choco Chips,29/04/2023,"$3,070.43",143
Rafaelita Blaksland,New Zealand,After Nines,07/07/2023,"$1,127.50",88
Madelene Upcott,New Zealand,Mint Chip Choco,11/03/2023,"$8,502.77",4
Madelene Upcott,UK,70% Dark Bites,16/02/2023,"$5,961.02",241
Barr Faughny,Australia,Organic Choco Syrup,07/01/2023,"$2,478.33",33
Beverie Moffet,New Zealand,Drinking Coco,12/01/2023,"$1,269.56",497
Beverie Moffet,India,Eclairs,09/06/2023,"$11,130.52",144
Andria Kimpton,India,Eclairs,16/05/2023,"$2,455.09",83
Gigi Bohling,UK,85% Dark Bars,23/06/2023,"$12,764.94",100
Roddy Speechley,UK,Raspberry Choco,28/01/2023,"$13,351.42",198
Dotty Strutley,UK,Mint Chip Choco,14/07/2023,"$2,763.22",223
Barr Faughny,Canada,Drinking Coco,18/04/2023,"$6,523.34",245
Oby Sorrel,USA,Milk Bars,14/06/2023,"$1,868.25",82
Oby Sorrel,UK,Orange Choco,15/04/2023,"$8,431.83",251
Curtice Advani,Canada,Peanut Butter Cubes,19/05/2023,"$5,646.99",64
Gigi Bohling,India,White Choc,13/04/2023,"$1,484.67",180
Husein Augar,Canada,Choco Coated Almonds,15/08/2023,"$3,859.95",395
Wilone O'Kielt,India,Choco Coated Almonds,22/08/2023,"$3,237.30",227
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22/04/2023,"$4,072.43",64
Kaine Padly,UK,Choco Coated Almonds,03/08/2023,"$8,054.87",118
Dennison Crosswaite,New Zealand,Organic Choco Syrup,04/01/2023,$420.30,224
Kelci Walkden,Canada,After Nines,13/01/2023,"$17,073.99",218
Van Tuxwell,Australia,Baker's Choco Chips,11/05/2023,"$13,624.31",33
Husein Augar,New Zealand,Peanut Butter Cubes,16/02/2023,"$2,318.46",235
Kaine Padly,UK,Caramel Stuffed Bars,20/05/2023,"$10,740.05",67
Jehu Rudeforth,UK,Drinking Coco,03/02/2023,"$7,624.67",422
Beverie Moffet,India,Manuka Honey Choco,06/05/2023,"$10,168.32",159
Gunar Cockshoot,UK,Choco Coated Almonds,30/06/2023,"$6,635.15",141
Gunar Cockshoot,UK,Smooth Sliky Salty,22/03/2023,$860.12,158
Camilla Castle,Canada,Orange Choco,17/02/2023,"$8,671.21",52
Jehu Rudeforth,UK,85% Dark Bars,07/07/2023,"$5,534.11",63
Oby Sorrel,UK,70% Dark Bites,16/03/2023,"$6,800.26",187
Kelci Walkden,UK,99% Dark & Pure,12/08/2023,"$3,927.83",123
Gigi Bohling,New Zealand,After Nines,21/01/2023,"$5,833.80",196
Oby Sorrel,Australia,50% Dark Bites,06/05/2023,$733.08,147
Oby Sorrel,Canada,50% Dark Bites,24/06/2023,"$7,164.51",140
Barr Faughny,USA,White Choc,05/05/2023,"$7,900.52",175
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25/03/2023,"$3,550.76",85
Curtice Advani,Australia,Caramel Stuffed Bars,14/02/2023,"$10,281.51",136
Curtice Advani,New Zealand,85% Dark Bars,12/05/2023,"$5,936.81",180
Barr Faughny,New Zealand,Smooth Sliky Salty,25/01/2023,"$4,552.15",172
Ches Bonnell,UK,85% Dark Bars,28/06/2023,"$15,944.86",11
Dennison Crosswaite,Australia,Drinking Coco,13/07/2023,"$7,722.58",188
Roddy Speechley,USA,Milk Bars,16/05/2023,"$3,105.38",268
Jan Morforth,India,After Nines,14/03/2023,"$6,994.35",179
Gunar Cockshoot,USA,After Nines,15/08/2023,"$4,264.49",252
Ches Bonnell,India,Orange Choco,16/02/2023,"$1,215.30",271
Mallorie Waber,UK,Manuka Honey Choco,15/06/2023,"$8,519.37",45
Barr Faughny,Australia,Raspberry Choco,27/05/2023,"$9,810.95",105
Wilone O'Kielt,USA,Drinking Coco,14/06/2023,"$1,065.63",107
Wilone O'Kielt,India,Eclairs,25/02/2023,"$3,894.68",80
Wilone O'Kielt,India,After Nines,04/08/2023,"$12,194.27",252
Kelci Walkden,India,99% Dark & Pure,28/06/2023,"$2,455.13",236
Gunar Cockshoot,Canada,Spicy Special Slims,05/04/2023,"$14,887.76",12
Madelene Upcott,Canada,Peanut Butter Cubes,05/07/2023,"$15,276.46",121
Kaine Padly,New Zealand,Eclairs,20/01/2023,"$13,520.48",47
Ches Bonnell,New Zealand,Drinking Coco,16/02/2023,"$9,195.53",127
Curtice Advani,UK,Drinking Coco,12/07/2023,$460.98,182
